,last_name,first_name,initials,affiliation,affiliation_date,publication_title,name
10,Yates,John R,JR,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, California, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Yates, John R"
11,Mulenga,Albert,A,"Department of Veterinary Pathobiology, School of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, Texas, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Mulenga, Albert"
12,Yates,John R,JR,,2024-02-22,"Correction to ""The Curiosity of the Young"".","Yates, John R"
13,da Silva Vaz Junior,Itabajara,I,"Centro de Biotecnologia, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil.
Faculdade de Veterinária, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil.",2024-01-28,Changes in saliva protein profile throughout Rhipicephalus microplus blood feeding.,"da Silva Vaz Junior, Itabajara"
14,Lu,Stephen,S,"Vector Biology Section, Laboratory of Malaria and Vector Research, National Institute of Allergy and Infectious Diseases, Rockville, MD, USA.",2024-01-28,Changes in saliva protein profile throughout Rhipicephalus microplus blood feeding.,"Lu, Stephen"
15,Pinto,Antônio F M,AFM,"Clayton Foundation Peptide Biology Lab, Salk Institute for Biological Studies, La Jolla, CA, USA.
Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA, USA.",2024-01-28,Changes in saliva protein profile throughout Rhipicephalus microplus blood feeding.,"Pinto, Antônio F M"
16,Diedrich,Jolene K,JK,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA, USA.
Mass Spectrometry Core, Salk Institute for Biological Studies, La Jolla, CA, USA.",2024-01-28,Changes in saliva protein profile throughout Rhipicephalus microplus blood feeding.,"Diedrich, Jolene K"
17,Yates,John R,JR,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA, USA.",2024-01-28,Changes in saliva protein profile throughout Rhipicephalus microplus blood feeding.,"Yates, John R"
18,Mulenga,Albert,A,"Department of Veterinary Pathobiology, College of Veterinary Medicine, Texas A&M University, College Station, TX, USA.",2024-01-28,Changes in saliva protein profile throughout Rhipicephalus microplus blood feeding.,"Mulenga, Albert"
19,Termignoni,Carlos,C,"Centro de Biotecnologia, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil.
Departamento de Bioquímica, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil.",2024-01-28,Changes in saliva protein profile throughout Rhipicephalus microplus blood feeding.,"Termignoni, Carlos"
20,Ribeiro,José Marcos,JM,"Vector Biology Section, Laboratory of Malaria and Vector Research, National Institute of Allergy and Infectious Diseases, Rockville, MD, USA.",2024-01-28,Changes in saliva protein profile throughout Rhipicephalus microplus blood feeding.,"Ribeiro, José Marcos"
21,Tirloni,Lucas,L,"Tick-Pathogen Transmission Unit, Laboratory of Bacteriology, National Institute of Allergy and Infectious Diseases, Hamilton, MT, USA. lucas.tirloni@nih.gov.",2024-01-28,Changes in saliva protein profile throughout Rhipicephalus microplus blood feeding.,"Tirloni, Lucas"
22,Yang,Dong,D,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Yang, Dong"
23,Wang,Yu,Y,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Wang, Yu"
24,Qi,Tianbo,T,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Qi, Tianbo"
25,Zhang,Xi,X,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Zhang, Xi"
26,Shen,Leyao,L,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Shen, Leyao"
27,Ma,Jingrui,J,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA; Department of Neurobiology, University of California San Diego, La Jolla, CA 92093, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Ma, Jingrui"
28,Pang,Zhengyuan,Z,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Pang, Zhengyuan"
29,Lal,Neeraj K,NK,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Lal, Neeraj K"
30,McClatchy,Daniel B,DB,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"McClatchy, Daniel B"
31,Seradj,Saba Heydari,SH,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Seradj, Saba Heydari"
32,Leung,Verina H,VH,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Leung, Verina H"
33,Wang,Kristina,K,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Wang, Kristina"
34,Xie,Yi,Y,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Xie, Yi"
35,Polli,Filip S,FS,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Polli, Filip S"
36,Maximov,Anton,A,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Maximov, Anton"
37,Gonzalez,Oscar Christian,OC,"Department of Psychiatry and Behavioral Sciences, Stanford University, Stanford, CA 94305, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Gonzalez, Oscar Christian"
38,de Lecea,Luis,L,"Department of Psychiatry and Behavioral Sciences, Stanford University, Stanford, CA 94305, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"de Lecea, Luis"
39,Cline,Hollis T,HT,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Cline, Hollis T"
40,Augustine,Vineet,V,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA; Department of Neurobiology, University of California San Diego, La Jolla, CA 92093, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Augustine, Vineet"
41,Yates,John R,JR,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA 92037, USA.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Yates, John R"
42,Ye,Li,L,"Department of Neuroscience and Dorris Neuroscience Center, The Scripps Research Institute, La Jolla, CA 92037, USA; Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA 92037, USA. Electronic address: liye@scripps.edu.",2024-01-25,Phosphorylation of pyruvate dehydrogenase inversely associates with neuronal activity.,"Ye, Li"
43,Yates,John R,JR,,2024-01-05,The Curiosity of the Young.,"Yates, John R"
44,Bamberger,Casimir,C,"Department of Molecular Medicine, The Scripps Research Institute 10550 North Torrey Pines Road, La Jolla, California 92037, United States.",2023-11-08,Analysis of the Tropism of SARS-CoV-2 Based on the Host Interactome of the Spike Protein.,"Bamberger, Casimir"
45,Pankow,Sandra,S,"Department of Molecular Medicine, The Scripps Research Institute 10550 North Torrey Pines Road, La Jolla, California 92037, United States.",2023-11-08,Analysis of the Tropism of SARS-CoV-2 Based on the Host Interactome of the Spike Protein.,"Pankow, Sandra"
46,Martínez-Bartolomé,Salvador,S,"Department of Molecular Medicine, The Scripps Research Institute 10550 North Torrey Pines Road, La Jolla, California 92037, United States.",2023-11-08,Analysis of the Tropism of SARS-CoV-2 Based on the Host Interactome of the Spike Protein.,"Martínez-Bartolomé, Salvador"
47,Diedrich,Jolene K,JK,"Department of Molecular Medicine, The Scripps Research Institute 10550 North Torrey Pines Road, La Jolla, California 92037, United States.",2023-11-08,Analysis of the Tropism of SARS-CoV-2 Based on the Host Interactome of the Spike Protein.,"Diedrich, Jolene K"
48,Park,Robin S K,RSK,"Department of Molecular Medicine, The Scripps Research Institute 10550 North Torrey Pines Road, La Jolla, California 92037, United States.",2023-11-08,Analysis of the Tropism of SARS-CoV-2 Based on the Host Interactome of the Spike Protein.,"Park, Robin S K"
49,Yates,John R,JR,"Department of Molecular Medicine, The Scripps Research Institute 10550 North Torrey Pines Road, La Jolla, California 92037, United States.",2023-11-08,Analysis of the Tropism of SARS-CoV-2 Based on the Host Interactome of the Spike Protein.,"Yates, John R"
50,Santi,Lucélia,L,"Faculty of Pharmacy, Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil; Post-Graduation Program of Cellular and Molecular Biology, Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil; Center of Experimental Research, Clinical Hospital of Porto Alegre, Porto Alegre, RS, Brazil. Electronic address: lucelia.santi@ufrgs.br.",2023-10-15,Proteomic profile of Cryptococcus gattii biofilm: Metabolic shift and the potential activation of electron chain transport.,"Santi, Lucélia"
51,Berger,Markus,M,"Center of Experimental Research, Clinical Hospital of Porto Alegre, Porto Alegre, RS, Brazil; Tick-Pathogen Transmission Unit, Laboratory of Bacteriology, National Institute of Allergy and Infectious Diseases, Hamilton, MT, United States.",2023-10-15,Proteomic profile of Cryptococcus gattii biofilm: Metabolic shift and the potential activation of electron chain transport.,"Berger, Markus"
52,Guimarães,Jorge A,JA,"Center of Experimental Research, Clinical Hospital of Porto Alegre, Porto Alegre, RS, Brazil.",2023-10-15,Proteomic profile of Cryptococcus gattii biofilm: Metabolic shift and the potential activation of electron chain transport.,"Guimarães, Jorge A"
53,Calegari-Alves,Yohana Porto,YP,"Post-Graduation Program of Cellular and Molecular Biology, Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil.",2023-10-15,Proteomic profile of Cryptococcus gattii biofilm: Metabolic shift and the potential activation of electron chain transport.,"Calegari-Alves, Yohana Porto"
54,Vainstein,Marilene H,MH,"Post-Graduation Program of Cellular and Molecular Biology, Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil.",2023-10-15,Proteomic profile of Cryptococcus gattii biofilm: Metabolic shift and the potential activation of electron chain transport.,"Vainstein, Marilene H"
55,Yates,John R,JR,"Department of Molecular Medicine, Scripps Research, La Jolla, CA, United States.",2023-10-15,Proteomic profile of Cryptococcus gattii biofilm: Metabolic shift and the potential activation of electron chain transport.,"Yates, John R"
56,Beys-da-Silva,Walter O,WO,"Faculty of Pharmacy, Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil; Post-Graduation Program of Cellular and Molecular Biology, Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil; Center of Experimental Research, Clinical Hospital of Porto Alegre, Porto Alegre, RS, Brazil.",2023-10-15,Proteomic profile of Cryptococcus gattii biofilm: Metabolic shift and the potential activation of electron chain transport.,"Beys-da-Silva, Walter O"
57,Yates,John,J,Scripps Research Institute.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Yates, John"
58,Gomes,Fabio,F,The Scripps Research Institute.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Gomes, Fabio"
59,Durbin,Kenneth,K,Proteinaceous.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Durbin, Kenneth"
60,Schauer,Kevin,K,Thermo Fisher Scientific.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Schauer, Kevin"
61,Nwachukwu,Jerome,J,,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Nwachukwu, Jerome"
62,Russo,Robin,R,Wertheim UF Scripps Institute.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Russo, Robin"
63,Njeri,Jacqline,J,Wertheim UF Scripps Institute.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Njeri, Jacqline"
64,Saviola,Anthony,A,The University of Colorado Anschutz Medical Campus.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Saviola, Anthony"
65,McClatchy,Daniel,D,The Scripps Research Institute.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"McClatchy, Daniel"
66,Diedrich,Jolene,J,Scripps Research Institute.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Diedrich, Jolene"
67,Garrett,Patrick,P,The Scripps Research Institute.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Garrett, Patrick"
68,Papa,Alexandra,A,Wertheim UF Scripps Institute.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Papa, Alexandra"
69,Ciolacu,Ianis,I,Wertheim UF Scripps Institute.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Ciolacu, Ianis"
70,Kelleher,Neil,N,Northwestern University.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Kelleher, Neil"
71,Nettles,Kendall,K,Wertheim UF Scripps Institute.,2023-08-07,Native top-down proteomics reveals EGFR-ERα signaling crosstalk in breast cancer cells dissociates NUTF2 dimers to modulate ERα signaling and cell growth.,"Nettles, Kendall"
72,Pinto,Antonio F M,AFM,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, California 92037, United States.
Clayton Foundation Laboratories for Peptide Biology, Salk Institute for Biological Studies, La Jolla, California 92037, United States.",2023-08-01,Differential Precipitation of Proteins: A Simple Protein Fractionation Strategy to Gain Biological Insights with Proteomics.,"Pinto, Antonio F M"
73,Diedrich,Jolene K,JK,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, California 92037, United States.
Clayton Foundation Laboratories for Peptide Biology, Salk Institute for Biological Studies, La Jolla, California 92037, United States.",2023-08-01,Differential Precipitation of Proteins: A Simple Protein Fractionation Strategy to Gain Biological Insights with Proteomics.,"Diedrich, Jolene K"
74,Moresco,James J,JJ,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, California 92037, United States.
Clayton Foundation Laboratories for Peptide Biology, Salk Institute for Biological Studies, La Jolla, California 92037, United States.
Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, Texas 75390, United States.",2023-08-01,Differential Precipitation of Proteins: A Simple Protein Fractionation Strategy to Gain Biological Insights with Proteomics.,"Moresco, James J"
75,Yates,John R,JR,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, California 92037, United States.",2023-08-01,Differential Precipitation of Proteins: A Simple Protein Fractionation Strategy to Gain Biological Insights with Proteomics.,"Yates, John R"
76,Cheng,Li-Chun,LC,"Department of Molecular Medicine, Scripps Research, La Jolla, CA, USA.",2023-07-12,Comparative membrane proteomics reveals diverse cell regulators concentrated at the nuclear envelope.,"Cheng, Li-Chun"
77,Zhang,Xi,X,"Department of Molecular Medicine, Scripps Research, La Jolla, CA, USA.",2023-07-12,Comparative membrane proteomics reveals diverse cell regulators concentrated at the nuclear envelope.,"Zhang, Xi"
78,Baboo,Sabyasachi,S,"Department of Molecular Medicine, Scripps Research, La Jolla, CA, USA.",2023-07-12,Comparative membrane proteomics reveals diverse cell regulators concentrated at the nuclear envelope.,"Baboo, Sabyasachi"
79,Nguyen,Julie A,JA,"Department of Molecular Medicine, Scripps Research, La Jolla, CA, USA.",2023-07-12,Comparative membrane proteomics reveals diverse cell regulators concentrated at the nuclear envelope.,"Nguyen, Julie A"
80,Martinez-Bartolomé,Salvador,S,"Department of Molecular Medicine, Scripps Research, La Jolla, CA, USA.",2023-07-12,Comparative membrane proteomics reveals diverse cell regulators concentrated at the nuclear envelope.,"Martinez-Bartolomé, Salvador"
81,Loose,Esther,E,"Department of Molecular Medicine, Scripps Research, La Jolla, CA, USA.",2023-07-12,Comparative membrane proteomics reveals diverse cell regulators concentrated at the nuclear envelope.,"Loose, Esther"
82,Diedrich,Jolene,J,"Department of Molecular Medicine, Scripps Research, La Jolla, CA, USA.",2023-07-12,Comparative membrane proteomics reveals diverse cell regulators concentrated at the nuclear envelope.,"Diedrich, Jolene"
83,Yates,John R,JR,"Department of Molecular Medicine, Scripps Research, La Jolla, CA, USA jyates@scripps.edu.",2023-07-12,Comparative membrane proteomics reveals diverse cell regulators concentrated at the nuclear envelope.,"Yates, John R"
84,Gerace,Larry,L,"Department of Molecular Medicine, Scripps Research, La Jolla, CA, USA lgerace@scripps.edu.",2023-07-12,Comparative membrane proteomics reveals diverse cell regulators concentrated at the nuclear envelope.,"Gerace, Larry"
85,Song,Ran,R,"Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Song, Ran"
86,McAlpine,William,W,"Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"McAlpine, William"
87,Fond,Aaron M,AM,"Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.
Department of Internal Medicine, Division of Gastroenterology, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Fond, Aaron M"
88,Nair-Gill,Evan,E,"Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Nair-Gill, Evan"
89,Choi,Jin Huk,JH,"Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Choi, Jin Huk"
90,Nyström,Elisabeth E L,EEL,"Institute of Biochemistry, University of Kiel, 24118, Kiel, Schleswig-Holstein, Germany.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Nyström, Elisabeth E L"
91,Arike,Liisa,L,"The Wallenberg Centre for Molecular & Translational Medicine, Department of Medical Biochemistry, Institute of Biomedicine, University of Gothenburg, 40530, Gothenburg, Sweden.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Arike, Liisa"
92,Field,Sydney,S,"Department of Internal Medicine, Division of Gastroenterology, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Field, Sydney"
93,Li,Xiaohong,X,"Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Li, Xiaohong"
94,SoRelle,Jeffrey A,JA,"Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.
Department of Pathology, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"SoRelle, Jeffrey A"
95,Moresco,James J,JJ,"Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Moresco, James J"
96,Moresco,Eva Marie Y,EMY,"Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Moresco, Eva Marie Y"
97,Yates,John R,JR,"Department of Molecular Medicine, The Scripps Research Institute, 10550 North Torrey Pines Road, La Jolla, CA, 92037, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Yates, John R"
98,Azadi,Parastoo,P,"Complex Carbohydrate Research Center, University of Georgia, Athens, GA, 30602, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Azadi, Parastoo"
99,Ni,Josephine,J,"Department of Internal Medicine, Division of Gastroenterology, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Ni, Josephine"
100,Birchenough,George M H,GMH,"The Wallenberg Centre for Molecular & Translational Medicine, Department of Medical Biochemistry, Institute of Biomedicine, University of Gothenburg, 40530, Gothenburg, Sweden.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Birchenough, George M H"
101,Beutler,Bruce,B,"Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Beutler, Bruce"
102,Turer,Emre E,EE,"Center for the Genetics of Host Defense, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA. emre.turer@utsouthwestern.edu.
Department of Internal Medicine, Division of Gastroenterology, University of Texas Southwestern Medical Center, Dallas, TX, 75390-8505, USA. emre.turer@utsouthwestern.edu.",2023-06-21,Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation.,"Turer, Emre E"
103,Jones,Julia A,JA,"Department of Molecular Medicine, Scripps Research Institute, La Jolla, CA 92037, USA.",2023-06-14,"Nuclear translocation of an aminoacyl-tRNA synthetase may mediate a chronic ""integrated stress response"".","Jones, Julia A"
104,Wei,Na,N,"Department of Molecular Medicine, Scripps Research Institute, La Jolla, CA 92037, USA.",2023-06-14,"Nuclear translocation of an aminoacyl-tRNA synthetase may mediate a chronic ""integrated stress response"".","Wei, Na"
105,Cui,Haissi,H,"Department of Molecular Medicine, Scripps Research Institute, La Jolla, CA 92037, USA.",2023-06-14,"Nuclear translocation of an aminoacyl-tRNA synthetase may mediate a chronic ""integrated stress response"".","Cui, Haissi"
